NAICS  Code,Kind of Business,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
7224,Drinking places,"1,768","1,707","1,975","1,845","1,995","1,846","1,942","1,943","1,832","1,968","1,851","1,970","22,642",
7225,Restaurants and other eating places,"42,099","40,635","46,657","45,455","48,477","45,867","46,849","46,697","43,500","46,417","43,697","48,011","544,361",
722511,Full service restaurants,"21,846","21,053","23,829","22,641","24,432","22,607","22,959","23,050","21,322","23,059","21,733","24,583","273,114",
"722513, 722514, 722515",Limited service eating places,"20,253","19,582","22,828","22,814","24,045","23,260","23,890","23,647","22,178","23,358","21,964","23,428","271,247",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","436,110","435,340","441,880","442,600","446,206","446,898","449,767","449,975","448,739","447,496","449,242","450,978",,
,Retail sales and food services excl motor vehicle and parts,"348,167","348,694","351,557","351,760","354,586","355,296","358,200","357,806","356,043","355,249","356,242","358,409",,
,Retail sales and food services excl gasoline stations,"400,299","398,314","404,358","405,678","407,867","407,959","410,540","411,860","412,791","412,002","414,260","416,186",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"312,356","311,668","314,035","314,838","316,247","316,357","318,973","319,691","320,095","319,755","321,260","323,617",,
,"Retail sales, total","385,466","384,793","390,948","390,986","394,518","395,115","397,720","397,585","396,353","394,715","396,257","397,123",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","297,523","298,147","300,625","300,146","302,898","303,513","306,153","305,416","303,657","302,468","303,257","304,554",,
,GAFO(1),"104,203","103,782","104,216","104,374","105,327","104,871","105,229","105,196","105,472","104,815","105,088","105,754",,
441,Motor vehicle and parts dealers,"87,943","86,646","90,323","90,840","91,620","91,602","91,567","92,169","92,696","92,247","93,000","92,569",,
"4411,4412",Automobile and other motor vehicle dealers,"80,761","79,371","82,993","83,414","84,152","84,054","83,983","84,679","85,265","84,797","85,431","85,075",,
4413,"Automotive parts, acc., and tire stores","7,182","7,275","7,330","7,426","7,468","7,548","7,584","7,490","7,431","7,450","7,569","7,494",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,495","17,161","17,229","17,438","17,669","17,635","17,590","17,638","17,652","17,648","17,482","17,691",,
442,Furniture and home furnishings stores,"8,619","8,424","8,677","8,788","8,965","8,796","8,940","8,977","8,958","9,036","9,036","9,227",,
443,Electronics and appliance stores,"8,876","8,737","8,552","8,650","8,704","8,839","8,650","8,661","8,694","8,612","8,446","8,464",,
444,Building mat. and garden equip. and supplies dealers,"27,057","26,077","27,117","27,349","27,399","27,164","27,957","28,045","27,874","28,040","28,352","28,884",,
4441,Building mat. and supplies dealers,"23,458","22,579","23,622","23,693","23,649","23,506","24,192","24,297","24,141","24,255","24,665","25,276",,
445,Food and beverage stores,"56,909","56,977","56,967","56,864","56,944","57,155","57,374","57,410","57,246","57,017","57,450","57,265",,
4451,Grocery stores,"50,969","51,039","50,984","50,845","50,952","51,121","51,302","51,327","51,194","51,034","51,435","51,154",,
4453,"Beer, wine and liquor stores","4,115","4,135","4,206","4,167","4,197","4,209","4,243","4,256","4,221","4,210","4,249","4,315",,
446,Health and personal care stores,"25,818","25,617","26,216","25,806","25,804","25,984","26,257","26,440","26,807","26,578","26,728","27,009",,
44611,Pharmacies and drug stores,"21,519","21,322","22,014","21,573","21,591","21,684","21,883","22,017","22,676","22,203","22,334","22,591",,
447,Gasoline stations,"35,811","37,026","37,522","36,922","38,339","38,939","39,227","38,115","35,948","35,494","34,982","34,792",,
448,Clothing and clothing access. stores,"20,943","21,207","21,310","21,351","21,544","21,290","21,430","21,496","21,345","21,116","21,284","21,390",,
4481,Clothing stores,"15,289","15,533","15,648","15,662","15,802","15,543","15,668","15,774","15,686","15,475","15,593","15,515",,
44811,Men's clothing stores,736,764,738,735,735,731,737,758,721,722,722,737,,
44812,Women's clothing stores,"3,446","3,389","3,422","3,357","3,456","3,412","3,409","3,473","3,391","3,410","3,412","3,500",,
4482,Shoe stores,"2,815","2,835","2,839","2,815","2,894","2,842","2,881","2,869","2,904","2,915","2,903","2,960",,
44831,Jewelry stores,"2,615","2,631","2,614","2,638","2,637","2,692","2,659","2,637","2,532","2,504","2,561","2,666",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,927","6,967","7,063","7,071","7,119","7,094","7,152","7,189","7,225","7,129","7,254","7,397",,
452,General merchandise stores,"56,140","55,780","55,986","55,840","56,370","56,243","56,478","56,243","56,656","56,309","56,497","56,657",,
4521,Department stores,"13,920","13,761","13,889","13,723","13,929","13,682","13,624","13,585","13,643","13,575","13,569","13,410",,
4529,Other general merchandise stores,"42,220","42,019","42,097","42,117","42,441","42,561","42,854","42,658","43,013","42,734","42,928","43,247",,
45291,Warehouse clubs and superstores,"36,611","36,414","36,390","36,495","36,694","36,835","37,110","36,844","37,195","36,892","37,062","37,328",,
45299,All other gen. merchandise stores,"5,609","5,605","5,707","5,622","5,747","5,726","5,744","5,814","5,818","5,842","5,866","5,919",,
453,Miscellaneous stores retailers,"9,903","9,818","9,834","9,807","10,070","10,100","10,144","10,224","9,816","9,804","9,923","9,854",,
454,Nonstore retailers,"40,520","41,517","41,381","41,698","41,640","41,909","42,544","42,616","43,088","43,333","43,305","43,615",,
4541,Electronic shopping and mail order houses,"34,152","34,628","34,750","35,276","35,506","35,600","36,255","36,509","36,934","37,195","37,465","37,844",,
45431,Fuel dealers,"2,731","3,238","2,854","2,555","2,434","2,463","2,411","2,308","2,282","2,234","1,945","1,761",,
722,Food services and drinking places,"50,644","50,547","50,932","51,614","51,688","51,783","52,047","52,390","52,386","52,781","52,985","53,855",,
,,,,,,,,,,,,,,,
